"","cohort","mcohort","resp.var","cv.fold","family","var.type","metric","non.trivial","value"
"63","ccAustria","ccAustria","group",63,"binomial","BGC","auc",TRUE,0.646997929606625
"64","ccAustria","ccAustria","group",64,"binomial","BGC","auc",TRUE,0.727053140096618
"65","ccAustria","ccAustria","group",65,"binomial","BGC","auc",TRUE,0.662525879917184
"66","ccAustria","ccAustria","group",66,"binomial","BGC","auc",TRUE,0.710835058661146
"67","ccAustria","ccAustria","group",67,"binomial","BGC","auc",TRUE,0.652518978605935
"68","ccAustria","ccAustria","group",68,"binomial","BGC","auc",TRUE,0.663561076604555
"69","ccAustria","ccAustria","group",69,"binomial","BGC","auc",TRUE,0.693581780538302
"70","ccAustria","ccAustria","group",70,"binomial","BGC","auc",TRUE,0.662525879917184
"71","ccAustria","ccAustria","group",71,"binomial","BGC","auc",TRUE,0.639751552795031
"72","ccAustria","ccAustria","group",72,"binomial","BGC","auc",TRUE,0.644582470669427
"73","ccAustria","ccAustria","group",73,"binomial","BGC","auc",TRUE,0.681849551414769
"74","ccAustria","ccAustria","group",74,"binomial","BGC","auc",TRUE,0.648033126293996
"75","ccAustria","ccAustria","group",75,"binomial","BGC","auc",TRUE,0.673913043478261
"76","ccAustria","ccAustria","group",76,"binomial","BGC","auc",TRUE,0.669427191166322
"77","ccAustria","ccAustria","group",77,"binomial","BGC","auc",TRUE,0.657004830917874
"78","ccAustria","ccAustria","group",78,"binomial","BGC","auc",TRUE,0.70703933747412
"79","ccAustria","ccAustria","group",79,"binomial","BGC","auc",TRUE,0.673222912353347
"80","ccAustria","ccAustria","group",80,"binomial","BGC","auc",TRUE,0.711180124223602
"81","ccAustria","ccAustria","group",81,"binomial","BGC","auc",TRUE,0.640786749482402
"82","ccAustria","ccAustria","group",82,"binomial","BGC","auc",TRUE,0.622843340234645
"83","ccAustria","ccAustria","group",83,"binomial","BGC","auc",TRUE,0.675293305728088
"84","ccAustria","ccAustria","group",84,"binomial","BGC","auc",TRUE,0.67184265010352
"85","ccAustria","ccAustria","group",85,"binomial","BGC","auc",TRUE,0.702208419599724
"86","ccAustria","ccAustria","group",86,"binomial","BGC","auc",TRUE,0.703933747412008
"87","ccAustria","ccAustria","group",87,"binomial","BGC","auc",TRUE,0.674948240165631
"88","ccAustria","ccAustria","group",88,"binomial","BGC","auc",TRUE,0.711870255348516
"89","ccAustria","ccAustria","group",89,"binomial","BGC","auc",TRUE,0.659765355417529
"90","ccAustria","ccAustria","group",90,"binomial","BGC","auc",TRUE,0.688750862663906
"91","ccAustria","ccAustria","group",91,"binomial","BGC","auc",TRUE,0.670807453416149
"92","ccAustria","ccAustria","group",92,"binomial","BGC","auc",TRUE,0.658040027605245
"93","ccAustria","ccAustria","group",93,"binomial","BGC","auc",TRUE,0.69047619047619
"94","ccAustria","ccAustria","group",94,"binomial","BGC","auc",TRUE,0.690131124913734
"95","ccAustria","ccAustria","group",95,"binomial","BGC","auc",TRUE,0.661145617667357
"96","ccAustria","ccAustria","group",96,"binomial","BGC","auc",TRUE,0.710835058661146
"97","ccAustria","ccAustria","group",97,"binomial","BGC","auc",TRUE,0.722222222222222
"98","ccAustria","ccAustria","group",98,"binomial","BGC","auc",TRUE,0.701863354037267
"99","ccAustria","ccAustria","group",99,"binomial","BGC","auc",TRUE,0.704278812974465
"100","ccAustria","ccAustria","group",100,"binomial","BGC","auc",TRUE,0.651828847481021
"101","ccChina","ccChina","group",1,"binomial","BGC","auc",TRUE,0.781281281281281
"102","ccChina","ccChina","group",2,"binomial","BGC","auc",TRUE,0.79954954954955
"103","ccChina","ccChina","group",3,"binomial","BGC","auc",TRUE,0.782532532532533
"104","ccChina","ccChina","group",4,"binomial","BGC","auc",TRUE,0.784534534534535
"105","ccChina","ccChina","group",5,"binomial","BGC","auc",TRUE,0.787287287287287
"106","ccChina","ccChina","group",6,"binomial","BGC","auc",TRUE,0.82007007007007
"107","ccChina","ccChina","group",7,"binomial","BGC","auc",TRUE,0.797797797797798
"108","ccChina","ccChina","group",8,"binomial","BGC","auc",TRUE,0.765265265265265
"109","ccChina","ccChina","group",9,"binomial","BGC","auc",TRUE,0.823573573573574
"110","ccChina","ccChina","group",10,"binomial","BGC","auc",TRUE,0.817067067067067
"111","ccChina","ccChina","group",11,"binomial","BGC","auc",TRUE,0.778028028028028
"112","ccChina","ccChina","group",12,"binomial","BGC","auc",TRUE,0.763513513513513
"113","ccChina","ccChina","group",13,"binomial","BGC","auc",TRUE,0.804554554554555
"114","ccChina","ccChina","group",14,"binomial","BGC","auc",TRUE,0.773023023023023
"115","ccChina","ccChina","group",15,"binomial","BGC","auc",TRUE,0.792542542542543
"116","ccChina","ccChina","group",16,"binomial","BGC","auc",TRUE,0.802302302302302
"117","ccChina","ccChina","group",17,"binomial","BGC","auc",TRUE,0.812062062062062
"118","ccChina","ccChina","group",18,"binomial","BGC","auc",TRUE,0.801301301301301
"119","ccChina","ccChina","group",19,"binomial","BGC","auc",TRUE,0.831331331331331
"120","ccChina","ccChina","group",20,"binomial","BGC","auc",TRUE,0.786911911911912
"121","ccChina","ccChina","group",21,"binomial","BGC","auc",TRUE,0.800800800800801
"122","ccChina","ccChina","group",22,"binomial","BGC","auc",TRUE,0.781281281281281
"123","ccChina","ccChina","group",23,"binomial","BGC","auc",TRUE,0.780780780780781
"124","ccChina","ccChina","group",24,"binomial","BGC","auc",TRUE,0.788788788788789
"125","ccChina","ccChina","group",25,"binomial","BGC","auc",TRUE,0.787287287287287
"126","ccChina","ccChina","group",26,"binomial","BGC","auc",TRUE,0.783033033033033
"127","ccChina","ccChina","group",27,"binomial","BGC","auc",TRUE,0.814564564564565
"128","ccChina","ccChina","group",28,"binomial","BGC","auc",TRUE,0.813813813813814
"129","ccChina","ccChina","group",29,"binomial","BGC","auc",TRUE,0.801551551551552
